"month","day","year","deaths","date"
"310",11,6,2015,70,2015-11-06
"311",11,7,2015,62,2015-11-07
"312",11,8,2015,73,2015-11-08
"313",11,9,2015,73,2015-11-09
"314",11,10,2015,62,2015-11-10
"315",11,11,2015,74,2015-11-11
"316",11,12,2015,77,2015-11-12
"317",11,13,2015,77,2015-11-13
"318",11,14,2015,78,2015-11-14
"319",11,15,2015,77,2015-11-15
"320",11,16,2015,74,2015-11-16
"321",11,17,2015,81,2015-11-17
"322",11,18,2015,62,2015-11-18
"323",11,19,2015,79,2015-11-19
"324",11,20,2015,90,2015-11-20
"325",11,21,2015,64,2015-11-21
"326",11,22,2015,91,2015-11-22
"327",11,23,2015,83,2015-11-23
"328",11,24,2015,81,2015-11-24
"329",11,25,2015,80,2015-11-25
"330",11,26,2015,70,2015-11-26
"331",11,27,2015,102,2015-11-27
"332",11,28,2015,85,2015-11-28
"333",11,29,2015,49,2015-11-29
"334",11,30,2015,99,2015-11-30
"335",12,1,2015,82,2015-12-01
"336",12,2,2015,87,2015-12-02
"337",12,3,2015,83,2015-12-03
"338",12,4,2015,78,2015-12-04
"339",12,5,2015,69,2015-12-05
"340",12,6,2015,69,2015-12-06
"341",12,7,2015,77,2015-12-07
"342",12,8,2015,85,2015-12-08
"343",12,9,2015,86,2015-12-09
"344",12,10,2015,78,2015-12-10
"345",12,11,2015,73,2015-12-11
"346",12,12,2015,80,2015-12-12
"347",12,13,2015,75,2015-12-13
"348",12,14,2015,77,2015-12-14
"349",12,15,2015,75,2015-12-15
"350",12,16,2015,95,2015-12-16
"351",12,17,2015,70,2015-12-17
"352",12,18,2015,107,2015-12-18
"353",12,19,2015,88,2015-12-19
"354",12,20,2015,87,2015-12-20
"355",12,21,2015,79,2015-12-21
"356",12,22,2015,74,2015-12-22
"357",12,23,2015,90,2015-12-23
"358",12,24,2015,96,2015-12-24
"359",12,25,2015,90,2015-12-25
"360",12,26,2015,69,2015-12-26
"361",12,27,2015,75,2015-12-27
"362",12,28,2015,79,2015-12-28
"363",12,29,2015,80,2015-12-29
"364",12,30,2015,93,2015-12-30
"365",12,31,2015,70,2015-12-31
"366",1,1,2016,89,2016-01-01
"367",1,2,2016,88,2016-01-02
"368",1,3,2016,79,2016-01-03
"369",1,4,2016,90,2016-01-04
"370",1,5,2016,80,2016-01-05
"371",1,6,2016,96,2016-01-06
"372",1,7,2016,92,2016-01-07
"373",1,8,2016,77,2016-01-08
"374",1,9,2016,86,2016-01-09
"375",1,10,2016,90,2016-01-10
"376",1,11,2016,86,2016-01-11
"377",1,12,2016,81,2016-01-12
"378",1,13,2016,79,2016-01-13
"379",1,14,2016,87,2016-01-14
"380",1,15,2016,94,2016-01-15
"381",1,16,2016,99,2016-01-16
"382",1,17,2016,92,2016-01-17
"383",1,18,2016,83,2016-01-18
"384",1,19,2016,81,2016-01-19
"385",1,20,2016,100,2016-01-20
"386",1,21,2016,81,2016-01-21
"387",1,22,2016,87,2016-01-22
"388",1,23,2016,92,2016-01-23
"389",1,24,2016,100,2016-01-24
"390",1,25,2016,92,2016-01-25
"391",1,26,2016,98,2016-01-26
"392",1,27,2016,91,2016-01-27
"393",1,28,2016,98,2016-01-28
"394",1,29,2016,92,2016-01-29
"395",1,30,2016,90,2016-01-30
"396",1,31,2016,72,2016-01-31
"397",2,1,2016,111,2016-02-01
"398",2,2,2016,95,2016-02-02
"399",2,3,2016,119,2016-02-03
"400",2,4,2016,89,2016-02-04
"401",2,5,2016,109,2016-02-05
"402",2,6,2016,87,2016-02-06
"403",2,7,2016,94,2016-02-07
"404",2,8,2016,94,2016-02-08
"405",2,9,2016,79,2016-02-09
"406",2,10,2016,102,2016-02-10
"407",2,11,2016,92,2016-02-11
"408",2,12,2016,88,2016-02-12
"409",2,13,2016,97,2016-02-13
"410",2,14,2016,84,2016-02-14
"411",2,15,2016,93,2016-02-15
"412",2,16,2016,78,2016-02-16
"413",2,17,2016,85,2016-02-17
"414",2,18,2016,79,2016-02-18
"415",2,19,2016,107,2016-02-19
"416",2,20,2016,72,2016-02-20
"417",2,21,2016,83,2016-02-21
"418",2,22,2016,83,2016-02-22
"419",2,23,2016,83,2016-02-23
"420",2,24,2016,102,2016-02-24
"421",2,25,2016,73,2016-02-25
"422",2,26,2016,82,2016-02-26
"423",2,27,2016,93,2016-02-27
"424",2,28,2016,69,2016-02-28
"425",2,29,2016,70,2016-02-29
"426",3,1,2016,73,2016-03-01
"427",3,2,2016,69,2016-03-02
"428",3,3,2016,67,2016-03-03
"429",3,4,2016,88,2016-03-04
"430",3,5,2016,77,2016-03-05
"431",3,6,2016,69,2016-03-06
"432",3,7,2016,85,2016-03-07
"433",3,8,2016,80,2016-03-08
"434",3,9,2016,69,2016-03-09
"435",3,10,2016,77,2016-03-10
"436",3,11,2016,84,2016-03-11
"437",3,12,2016,72,2016-03-12
"438",3,13,2016,85,2016-03-13
"439",3,14,2016,83,2016-03-14
"440",3,15,2016,77,2016-03-15
"441",3,16,2016,80,2016-03-16
"442",3,17,2016,69,2016-03-17
"443",3,18,2016,77,2016-03-18
"444",3,19,2016,95,2016-03-19
"445",3,20,2016,94,2016-03-20
"446",3,21,2016,90,2016-03-21
"447",3,22,2016,83,2016-03-22
"448",3,23,2016,82,2016-03-23
"449",3,24,2016,81,2016-03-24
"450",3,25,2016,86,2016-03-25
"451",3,26,2016,82,2016-03-26
"452",3,27,2016,78,2016-03-27
"453",3,28,2016,70,2016-03-28
"454",3,29,2016,78,2016-03-29
"455",3,30,2016,77,2016-03-30
"456",3,31,2016,81,2016-03-31
"457",4,1,2016,79,2016-04-01
"458",4,2,2016,53,2016-04-02
"459",4,3,2016,77,2016-04-03
"460",4,4,2016,92,2016-04-04
"461",4,5,2016,75,2016-04-05
"462",4,6,2016,68,2016-04-06
"463",4,7,2016,84,2016-04-07
"464",4,8,2016,88,2016-04-08
"465",4,9,2016,65,2016-04-09
"466",4,10,2016,73,2016-04-10
"467",4,11,2016,83,2016-04-11
"468",4,12,2016,65,2016-04-12
"469",4,13,2016,68,2016-04-13
"470",4,14,2016,84,2016-04-14
"471",4,15,2016,74,2016-04-15
"472",4,16,2016,80,2016-04-16
"473",4,17,2016,77,2016-04-17
"474",4,18,2016,82,2016-04-18
"475",4,19,2016,62,2016-04-19
"476",4,20,2016,75,2016-04-20
"477",4,21,2016,73,2016-04-21
"478",4,22,2016,64,2016-04-22
"479",4,23,2016,88,2016-04-23
"480",4,24,2016,73,2016-04-24
"481",4,25,2016,81,2016-04-25
"482",4,26,2016,68,2016-04-26
"483",4,27,2016,76,2016-04-27
"484",4,28,2016,73,2016-04-28
"485",4,29,2016,77,2016-04-29
"486",4,30,2016,64,2016-04-30
"487",5,1,2016,74,2016-05-01
"488",5,2,2016,59,2016-05-02
"489",5,3,2016,74,2016-05-03
"490",5,4,2016,53,2016-05-04
"491",5,5,2016,84,2016-05-05
"492",5,6,2016,68,2016-05-06
